Código do Termo,Termo
30201012,Biópsia de lábio
30201020,Excisão com plástica de vermelhão
30201039,Excisão com reconstrução à custa de retalhos
30201047,Excisão com reconstrução total
30201055,Excisão em cunha
30201063,Frenotomia labial
30201071,Queiloplastia para fissura labial unilateral - por estágio
30201080,Reconstrução de sulco gengivo-labial
30201098,Reconstrução total do lábio
30201101,Tratamento cirúrgico da macrostomia
30201110,Tratamento cirúrgico da microstomia
30201128,Reconstrução parcial do lábio
30202019,Alongamento cirúrgico do palato mole
30202027,Biópsia de boca
30202035,Excisão de lesão maligna com reconstrução à custa de retalhos locais
30202043,Excisão de tumor de boca com mandibulectomia
30202051,Exérese de tumor e enxerto cutâneo ou mucoso
30202060,Fístula orofacial - tratamento cirúrgico
30202078,"Glossectomia subtotal ou total, com ou sem mandibulectomia"
30202086,Palato-queiloplastia unilateral
30202094,Palatoplastia com enxerto ósseo
30202108,Palatoplastia com retalho faríngeo
30202116,Palatoplastia com retalho miomucoso
30202124,Palatoplastia parcial
30202132,Palatoplastia total
30202140,Plástica do ducto parotídeo
30202159,"Laserterapia para o tratamento da mucosite oral / orofaringe, por sessão"
30203015,Frenotomia lingual
30203023,Tumor de língua - tratamento cirúrgico
30203031,Biópsia de língua
30204011,Biópsia de glândula salivar
30204020,Excisão de glândula submandibular
30204038,Exérese de rânula ou mucocele
30204046,Parotidectomia parcial com conservação do nervo facial
30204054,Parotidectomia total ampliada com ou sem reconstrução com retalhos locais
30204062,Parotidectomia total com conservação do nervo facial
30204070,Parotidectomia total com reconstrução do nervo facial
30204089,"Parotidectomia total com sacrificio do nervo facial, sem reconstrução"
30204097,Plastia de ducto salivar ou exérese de cálculo ou de rânula salivar
30204100,Ressecção de tumor de glândula sublingual
30205018,Abscesso faríngeo - qualquer área
30207010,Redução de fratura do malar (sem fixação)
30207029,Redução de fratura do malar (com fixação)
30207037,Redução de fratura de seio frontal (acesso frontal)
30207045,Redução de fratura de seio frontal (acesso coronal)
30207061,Fratura do arco zigomático - redução instrumental sem fixação
30207070,Fratura do arco zigomático - redução cirúrgica com fixação
30207088,Fratura  simples de mandíbula com contenção e bloqueio intermaxilar eventual
30207096,Fratura simples de mandíbula - redução cirúrgica com fixação óssea e bloqueio intermaxilar eventual
30207100,Fratura naso etmóido órbito-etmoidal
30207118,Fratura cominutiva de mandíbula - redução cirúrgica com fixação óssea e bloqueio intermaxilar eventual
30207126,Fraturas complexas de mandíbula - redução cirúrgica com fixação óssea e eventual bloqueio intermaxilar
30207134,Fraturas alveolares - fixação com aparelho e contenção
30207142,"Fratura de maxila, tipo Lefort I e II - redução e aplicação de levantamento zigomático-maxilar com bloqueio intermaxilar eventual"
30207150,"Fratura de maxila, tipo Lefort III - redução e aplicação de levantamento crânio-maxilar com bloqueio intermaxilar eventual"
30207169,"Fratura Lefort I - fixação cirúrgica com síntese óssea, levantamento e bloqueio intermaxilar eventual"
30207177,"Fratura Lefort II - fixação cirúrgica com síntese óssea, levantamento e bloqueio intermaxilar eventual"
30207185,"Fratura Lefort III - fixação cirúrgica com síntese óssea, levantamento crânio-maxilar e bloqueio intermaxilar eventual"
30207193,"Fraturas múltiplas de terço médio da face:fixação cirúrgica com síntese óssea, levantamento crânio maxilar e bloqueio intermaxilar"
30207207,"Fraturas complexas do terço médio da face, fixação cirúrgica com síntese, levantamento crânio-maxilar, enxerto ósseo, halo craniano eventual"
30207215,Retirada dos meios de fixação (na face)
30207223,Tratamento conservador de fratura de ossos
30207231,Redução de luxação do ATM
30208017,Artroplastia para luxação recidivante da articulação têmporo-mandibular
30208025,"Osteoplastia para prognatismo, micrognatismo ou laterognatismo"
30208033,Osteotomias alvéolo palatinas
